title,gen_sg,gen_pl
демиург,демиу́рга,демиу́ргов
демобилизация,демобилиза́ции,демобилиза́ций
демогеронт,демогеро́нта,демогеро́нтов
демограф,демо́графа,демо́графов
демография,демогра́фии,демогра́фий
демократ,демокра́та,демокра́тов
демократизация,демократиза́ции,демократиза́ций
демократизм,демократи́зма,демократи́змов
демократия,демокра́тии,демокра́тий
демон,де́мона,де́монов
демонёнок,демонёнка,демоня́т
демонизация,демониза́ции,демониза́ций
демонстрант,демонстра́нта,демонстра́нтов
демонстрантка,демонстра́нтки,демонстра́нток
демонстрация,демонстра́ции,демонстра́ций
демонтаж,демонтажа́,демонтаже́й
деморализация,деморализа́ции,деморализа́ций
демпинг,де́мпинга,де́мпингов
демшиза,демшизы́,демши́з
денацификация,денацифика́ции,денацифика́ций
дендрарий,дендра́рия,дендра́риев
дендрит,дендри́та,дендри́тов
дендрохронология,дендрохроноло́гии,дендрохроноло́гий
денежка,де́нежки,де́нежек
денёк,денька́,денько́в
денник,денника́,деннико́в
денница,денни́цы,денни́ц
денуклеаризация,денуклеариза́ции,денуклеариза́ций
денщик,денщика́,денщико́в
день,дня́,дне́й
деньга,де́ньги,де́ньг
деоккупация,деоккупа́ции,деоккупа́ций
департамент,департа́мента,департа́ментов
депеша,депе́ши,депе́ш
депозит,депози́та,депози́тов
депонент,депоне́нта,депоне́нтов
депортация,депорта́ции,депорта́ций
депрессия,депре́ссии,депре́ссий
депутат,депута́та,депута́тов
депутинизация,депутиниза́ции,депутиниза́ций
дербет,дербе́та,дербе́тов
дербник,де́рбника,де́рбников
дервиш,де́рвиша,де́рвишей
дергач,дергача́,дергаче́й
деревенение,деревене́ния,деревене́ний
деревенщина,дереве́нщины,дереве́нщин
деревенька,дереве́ньки,дереве́нек
деревня,дере́вни,дереве́нь
дерево,де́рева,дере́вьев
деревообделочная,деревообде́лочной,деревообде́лочных
деревообделочник,деревообде́лочника,деревообде́лочников
дереворубка,деревору́бки,деревору́бок
деревушка,дереву́шки,дереву́шек
деревце,де́ревца,дереве́ц
деревцо,деревца́,дереве́ц
деревянка,деревя́нки,деревя́нок
деревяшка,деревя́шки,деревя́шек
держава,держа́вы,держа́в
держатель,держа́теля,держа́телей
дерзость,де́рзости,де́рзостей
дериватив,деривати́ва,деривати́вов
дерматин,дермати́на,дермати́нов
дерматит,дермати́та,дермати́тов
дерьмократия,дерьмокра́тии,дерьмокра́тий
десант,деса́нта,деса́нтов
десантирование,десанти́рования,десанти́рований
десантник,деса́нтника,деса́нтников
десерт,десе́рта,десе́ртов
десна,десны́,дёсен
десница,десни́цы,десни́ц
деспот,де́спота,де́спотов
деспотия,деспоти́и,деспоти́й
дестабилизация,дестабилиза́ции,дестабилиза́ций
десталинизация,десталиниза́ции,десталиниза́ций
десятая,деся́той,деся́тых
десятилетие,десятиле́тия,десятиле́тий
десятилетка,десятиле́тки,десятиле́ток
десятина,десяти́ны,десяти́н
десятитысячеугольник,десятитысячеуго́льника,десятитысячеуго́льников
десятиугольник,десятиуго́льника,десятиуго́льников
десятка,деся́тки,деся́ток
десяток,деся́тка,деся́тков
детализация,детализа́ции,детализа́ций
деталь,дета́ли,дета́лей
детдом,детдо́ма,детдомо́в
детектив,детекти́ва,детекти́вов
детектор,дете́ктора,дете́кторов
детерминант,детермина́нта,детермина́нтов
детерминатив,детерминати́ва,детерминати́вов
детёнок,детёнка,детя́т
детёныш,детёныша,детёнышей
детина,дети́ны,дети́н
детище,де́тища,де́тищ
детка,де́тки,де́ток
детонатор,детона́тора,детона́торов
деторождение,деторожде́ния,деторожде́ний
деточка,де́точки,де́точек
детсад,детса́да,детсадо́в
детская,де́тской,де́тских
дефект,дефе́кта,дефе́ктов
дефиниция,дефини́ции,дефини́ций
дефис,дефи́са,дефи́сов
дефицит,дефици́та,дефици́тов
дефолт,дефо́лта,дефо́лтов
деформация,деформа́ции,деформа́ций
деформирование,деформи́рования,деформи́рований
дехканин,дехка́нина,дехка́н
децентрализация,децентрализа́ции,децентрализа́ций
децибел,децибе́ла,децибе́лов
дециграмм,децигра́мма,децигра́ммов
децилитр,децили́тра,децили́тров
дециметр,дециме́тра,дециме́тров
дешевизна,дешеви́зны,дешеви́зн
дешёвка,дешёвки,дешёвок
деэскалация,деэскала́ции,деэскала́ций
деяние,дея́ния,дея́ний
деятель,де́ятеля,де́ятелей
деятельница,де́ятельницы,де́ятельниц
деятельность,де́ятельности,де́ятельностей
дёготь,дёгтя,дёгтей
дёрен,дёрена,дёренов
дёрн,дёрна,дёрнов
джезва,дже́звы,дже́зв
джекфрут,джекфру́та,джекфру́тов
джем,дже́ма,дже́мов
джемпер,дже́мпера,дже́мперов
джентльмен,джентльме́на,джентльме́нов
джерид,джери́да,джери́дов
джигал,джига́ла,джига́лов
джигда,джигды́,джи́гд
джигит,джиги́та,джиги́тов
джид,джи́да,джи́дов
джида,джиды́,джи́д
джим,джи́ма,джи́мов
джин,джи́на,джи́нов
джинн,джи́нна,джи́ннов
джип,джи́па,джи́пов
джирид,джири́да,джири́дов
джойстик,джо́йстика,джо́йстиков
джокер,джо́кера,джо́керов
джоуль,джо́уля,джо́улей
джума,джумы́,джу́м
джут,джу́та,джу́тов
дзельква,дзе́льквы,дзе́лькв
дзета,дзе́ты,дзе́т
диагноз,диа́гноза,диа́гнозов
диагност,диагно́ста,диагно́стов
диагностик,диагно́стика,диагно́стиков
диагональ,диагона́ли,диагона́лей
диаграмма,диагра́ммы,диагра́мм
диадема,диаде́мы,диаде́м
диакон,диа́кона,диа́конов
диалект,диале́кта,диале́ктов
диалектика,диале́ктики,диале́ктик
диалектология,диалектоло́гии,диалектоло́гий
диалог,диало́га,диало́гов
диамант,диама́нта,диама́нтов
диамат,диама́та,диама́тов
диаметр,диа́метра,диа́метров
диапазон,диапазо́на,диапазо́нов
диарея,диаре́и,диаре́й
диархия,диа́рхии,диа́рхий
диаспора,диа́споры,диа́спор
диафрагма,диафра́гмы,диафра́гм
див,ди́ва,ди́вов
дива,ди́вы,ди́в
диван,дива́на,дива́нов
диванчик,дива́нчика,дива́нчиков
диверсант,диверса́нта,диверса́нтов
диверсификация,диверсифика́ции,диверсифика́ций
диверсия,диве́рсии,диве́рсий
дивертисмент,дивертисме́нта,дивертисме́нтов
дивиденд,дивиде́нда,дивиде́ндов
дивизион,дивизио́на,дивизио́нов
дивизия,диви́зии,диви́зий
диво,ди́ва,ди́в
дивчина,дивчи́ны,дивчи́н
дигамма,дига́ммы,дига́мм
диграф,дигра́фа,дигра́фов
дидакт,дида́кта,дида́ктов
диджей,дидже́я,дидже́ев
диез,дие́за,дие́зов
диета,дие́ты,дие́т
дизайн,диза́йна,диза́йнов
дизайнер,диза́йнера,диза́йнеров
дизель,ди́зеля,ди́зелей
дизентерия,дизентери́и,дизентери́й
диканя,дика́ни,дика́нь
дикарка,дика́рки,дика́рок
дикарь,дикаря́,дикаре́й
дикобраз,дикобра́за,дикобра́зов
диковина,дико́вины,дико́вин
диковинка,дико́винки,дико́винок
дикость,ди́кости,ди́костей
диктант,дикта́нта,дикта́нтов
диктат,дикта́та,дикта́тов
диктатор,дикта́тора,дикта́торов
диктатура,диктату́ры,диктату́р
диктовка,дикто́вки,дикто́вок
диктор,ди́ктора,ди́кторов
дикторша,ди́кторши,ди́кторш
диктофон,диктофо́на,диктофо́нов
дикуша,дику́ши,дику́ш
дикция,ди́кции,ди́кций
дилемма,диле́ммы,диле́мм
дилер,ди́лера,ди́леров
дилетант,дилета́нта,дилета́нтов
дилетантка,дилета́нтки,дилета́нток
дилижанс,дилижа́нса,дилижа́нсов
димер,диме́ра,диме́ров
диминутив,диминути́ва,диминути́вов
дина,ди́ны,ди́н
динамизм,динами́зма,динами́змов
динамик,дина́мика,дина́миков
динамика,дина́мики,дина́мик
динамит,динами́та,динами́тов
динамичность,динами́чности,динами́чностей
динар,дина́ра,дина́ров
династия,дина́стии,дина́стий
динозавр,диноза́вра,диноза́вров
диод,дио́да,дио́дов
диплом,дипло́ма,дипло́мов
дипломант,диплома́нта,диплома́нтов
дипломат,диплома́та,диплома́тов
дипломатия,диплома́тии,диплома́тий
дипломник,дипло́мника,дипло́мников
дипсотрудник,дипсотру́дника,дипсотру́дников
директива,директи́вы,директи́в
директор,дире́ктора,директоро́в
директория,директо́рии,директо́рий
директриса,директри́сы,директри́с
дирекция,дире́кции,дире́кций
дирижабль,дирижа́бля,дирижа́блей
дирижёр,дирижёра,дирижёров
дирхам,дирха́ма,дирха́мов
дисахарид,дисахари́да,дисахари́дов
дисбаланс,дисбала́нса,дисбала́нсов
дисгармония,дисгармо́нии,дисгармо́ний
диск,ди́ска,ди́сков
дисквалификация,дисквалифика́ции,дисквалифика́ций
дискета,диске́ты,диске́т
дисковод,дисково́да,дисково́дов
дисконтирование,дисконти́рования,дисконти́рований
дискотека,дискоте́ки,дискоте́к
дискредитация,дискредита́ции,дискредита́ций
дискриминация,дискримина́ции,дискримина́ций
дискурс,ди́скурса,ди́скурсов
дискуссия,диску́ссии,диску́ссий
дискутант,дискута́нта,дискута́нтов
дислокация,дислока́ции,дислока́ций
диспансер,диспансе́ра,диспансе́ров
диспашер,диспаше́ра,диспаше́ров
дисперсия,диспе́рсии,диспе́рсий
диспетчер,диспе́тчера,диспе́тчеров
дисплей,диспле́я,диспле́ев
диспозиция,диспози́ции,диспози́ций
диспрозий,диспро́зия,диспро́зиев
диспропорция,диспропо́рции,диспропо́рций
диспут,ди́спута,ди́спутов
диссекция,диссе́кции,диссе́кций
диссертация,диссерта́ции,диссерта́ций
диссидент,диссиде́нта,диссиде́нтов
диссимиляция,диссимиля́ции,диссимиля́ций
диссонанс,диссона́нса,диссона́нсов
дистанционка,дистанцио́нки,дистанцио́нок
дистанция,диста́нции,диста́нций
дистрибуция,дистрибу́ции,дистрибу́ций
дистрибьютер,дистрибью́тера,дистрибью́теров
дистрибьютор,дистрибью́тора,дистрибью́торов
дистрофия,дистрофи́и,дистрофи́й
дисфория,дисфори́и,дисфори́й
дисфункция,дисфу́нкции,дисфу́нкций
дисциплина,дисципли́ны,дисципли́н
дисциплинированность,дисциплини́рованности,дисциплини́рованностей
дитё,дитя́,дите́й
дитёнок,дитёнка,дитя́т
дитя,дитя́ти,дете́й
дифирамб,дифира́мба,дифира́мбов
дифракция,дифра́кции,дифра́кций
дифтонг,дифто́нга,дифто́нгов
диффамация,диффама́ции,диффама́ций
дифференциал,дифференциа́ла,дифференциа́лов
дифференциация,дифференциа́ции,дифференциа́ций
диффузия,диффу́зии,диффу́зий
дичина,дичи́ны,дичи́н
диэтил,диэти́ла,диэти́лов
длань,дла́ни,дла́ней
длина,длины́,дли́н
длительность,дли́тельности,дли́тельностей
дневальный,днева́льного,днева́льных
дневник,дневника́,дневнико́в
днище,дни́ща,дни́щ
дно,дна́,до́ньев
днюха,дню́хи,дню́х
добавка,доба́вки,доба́вок
добавление,добавле́ния,добавле́ний
доберман,доберма́на,доберма́нов
доблесть,до́блести,до́блестей
доброволец,доброво́льца,доброво́льцев
добродетель,доброде́тели,доброде́телей
добродушие,доброду́шия,доброду́ший
доброжелатель,доброжела́теля,доброжела́телей
доброжелательность,доброжела́тельности,доброжела́тельностей
добросовестность,добросо́вестности,добросо́вестностей
добрососедство,добрососе́дства,добрососе́дств
добряк,добряка́,добряко́в
добывание,добыва́ния,добыва́ний
добытчик,добы́тчика,добы́тчиков
добыча,добы́чи,добы́ч
доведение,доведе́ния,доведе́ний
доведь,до́веди,до́ведей
доверенность,дове́ренности,дове́ренностей
доверенный,дове́ренного,дове́ренных
доверие,дове́рия,дове́рий
доверительность,довери́тельности,довери́тельностей
доверчивость,дове́рчивости,дове́рчивостей
довершение,доверше́ния,доверше́ний
довесок,дове́ска,дове́сков
довод,до́вода,до́водов
доводка,дово́дки,дово́док
довольствие,дово́льствия,дово́льствий
довольство,дово́льства,дово́льств
дог,до́га,до́гов
догадка,дога́дки,дога́док
догма,до́гмы,до́гм
догмат,до́гмата,до́гматов
договор,догово́ра,догово́ров
догхантер,догха́нтера,догха́нтеров
додекаэдр,додека́эдра,додека́эдров
додредноут,додредно́ута,додредно́утов
дож,до́жа,до́жей
дождевик,дождевика́,дождевико́в
дождик,до́ждика,до́ждиков
дождичек,до́ждичка,до́ждичков
дождь,дождя́,дожде́й
доза,до́зы,до́з
дозаправка,дозапра́вки,дозапра́вок
дозатор,доза́тора,доза́торов
дозволение,дозволе́ния,дозволе́ний
дозволенность,дозво́ленности,дозво́ленностей
дозировка,дозиро́вки,дозиро́вок
дознаватель,дознава́теля,дознава́телей
дознание,дозна́ния,дозна́ний
дозор,дозо́ра,дозо́ров
дозорный,дозо́рного,дозо́рных
дойка,до́йки,до́ек
док,до́ка,до́ков
дока,до́ки,до́к
доказательство,доказа́тельства,доказа́тельств
доказывание,дока́зывания,дока́зываний
доклад,докла́да,докла́дов
докладная,докладно́й,докладны́х
докладчик,докла́дчика,докла́дчиков
доктор,до́ктора,докторо́в
докторишка,доктори́шки,доктори́шек
доктрина,доктри́ны,доктри́н
документ,докуме́нта,докуме́нтов
документалка,документа́лки,документа́лок
документация,документа́ции,документа́ций
документооборот,документооборо́та,документооборо́тов
дол,до́ла,доло́в
долбоебизм,долбоеби́зма,долбоеби́змов
долбоёб,долбоёба,долбоёбов
долг,до́лга,долго́в
долговечность,долгове́чности,долгове́чностей
долгожитель,долгожи́теля,долгожи́телей
долголетие,долголе́тия,долголе́тий
долгоносик,долгоно́сика,долгоно́сиков
долгопят,долгопя́та,долгопя́тов
долгострой,долгостро́я,долгостро́ев
долгота,долготы́,долго́т
должник,должника́,должнико́в
должное,до́лжного,до́лжных
должность,до́лжности,должносте́й
должок,должка́,должко́в
долина,доли́ны,доли́н
доллар,до́ллара,до́лларов
долонь,до́лони,до́лоней
долото,долота́,доло́т
долотцо,долотца́,доло́тец
долька,до́льки,до́лек
дольмен,дольме́на,дольме́нов
дольник,до́льника,до́льников
дольщик,до́льщика,до́льщиков
доля,до́ли,доле́й
дом,до́ма,домо́в
домашка,дома́шки,дома́шек
домашний,дома́шнего,дома́шних
домбра,домбры́,до́мбр
домбрист,домбри́ста,домбри́стов
домбристка,домбри́стки,домбри́сток
домен,доме́на,доме́нов
домик,до́мика,до́миков
доминанта,домина́нты,домина́нт
доминирование,домини́рования,домини́рований
домишко,доми́шка,доми́шек
домище,доми́ща,доми́щ
домкрат,домкра́та,домкра́тов
домна,до́мны,до́мен
домовина,домови́ны,домови́н
домовладелец,домовладе́льца,домовладе́льцев
домовой,домово́го,домовы́х
домогательство,домога́тельства,домога́тельств
домосед,домосе́да,домосе́дов
домостроение,домострое́ния,домострое́ний
домоуправление,домоуправле́ния,домоуправле́ний
домофон,домофо́на,домофо́нов
домохозяин,домохозя́ина,домохозя́ев
домохозяйка,домохозя́йки,домохозя́ек
домохозяйство,домохозя́йства,домохозя́йств
домочадец,домоча́дца,домоча́дцев
домра,до́мры,до́мр
домработница,домрабо́тницы,домрабо́тниц
домъ,до́ма,домо́въ
домысел,до́мысла,до́мыслов
дон,до́на,до́нов
донг,до́нга,до́нгов
донесение,донесе́ния,донесе́ний
донжон,донжо́на,донжо́нов
донна,до́нны,до́нн
донор,до́нора,до́норов
донос,доно́са,доно́сов
доноситель,доноси́теля,доноси́телей
доносительство,доноси́тельства,доноси́тельств
доносчик,доно́счика,доно́счиков
донышко,до́нышка,до́нышек
допечатка,допеча́тки,допеча́ток
допинг,до́пинга,до́пингов
доплата,допла́ты,допла́т
дополнение,дополне́ния,дополне́ний
допрос,допро́са,допро́сов
допуск,до́пуска,до́пусков
допустимость,допусти́мости,допусти́мостей
допущение,допуще́ния,допуще́ний
доработка,дорабо́тки,дорабо́ток
дорада,дора́ды,дора́д
дорама,дора́мы,дора́м
дорога,доро́ги,доро́г
дороговизна,дорогови́зны,дорогови́зн
дорожка,доро́жки,доро́жек
досада,доса́ды,доса́д
доска,доски́,до́сок
досмотр,досмо́тра,досмо́тров
доспех,доспе́ха,доспе́хов
доставка,доста́вки,доста́вок
достаток,доста́тка,доста́тков
достаточность,доста́точности,доста́точностей
достижение,достиже́ния,достиже́ний
достоверность,достове́рности,достове́рностей
достоинство,досто́инства,досто́инств
достопримечательность,достопримеча́тельности,достопримеча́тельностей
достояние,достоя́ния,достоя́ний
доступ,до́ступа,до́ступов
доступность,досту́пности,досту́пностей
досуг,досу́га,досу́гов
досягаемость,досяга́емости,досяга́емостей
дотация,дота́ции,дота́ций
дотошность,дото́шности,дото́шностей
доула,до́улы,до́ул
дофамин,дофами́на,дофами́нов
дофин,дофи́на,дофи́нов
дофина,дофи́ны,дофи́н
доха,дохи́,до́х
дохлятина,дохля́тины,дохля́тин
доход,дохо́да,дохо́дов
доходность,дохо́дности,дохо́дностей
доцент,доце́нта,доце́нтов
доченька,до́ченьки,до́ченек
дочка,до́чки,до́чек
дочуля,дочу́ли,дочу́ль
дочуня,дочу́ни,дочу́нь
дочурка,дочу́рки,дочу́рок
дочушка,дочу́шки,дочу́шек
дочь,до́чери,дочере́й
дошколёнок,дошколёнка,дошколя́т
дошкольник,дошко́льника,дошко́льников
дощечка,доще́чки,доще́чек
дояр,доя́ра,доя́ров
доярка,доя́рки,доя́рок
драга,дра́ги,дра́г
драгоман,драгома́на,драгома́нов
драгоценность,драгоце́нности,драгоце́нностей
дразнилка,дразни́лки,дразни́лок
драйв,дра́йва,дра́йвов
драйвер,дра́йвера,дра́йверов
драка,дра́ки,дра́к
дракон,драко́на,драко́нов
дракоша,драко́ши,драко́ш
драм,дра́ма,дра́мов
драма,дра́мы,дра́м
драматизм,драмати́зма,драмати́змов
драматург,драмату́рга,драмату́ргов
драматургия,драматурги́и,драматурги́й
драник,дра́ника,дра́ников
дранка,дра́нки,дра́нк
драп,дра́па,дра́пов
драхма,дра́хмы,дра́хм
драчун,драчуна́,драчуно́в
дребедень,дребеде́ни,дребеде́ней
дребезг,дре́безга,дре́безгов
древесина,древеси́ны,древеси́н
древесница,древе́сницы,древе́сниц
древесность,древе́сности,древе́сностей
древко,дре́вка,дре́вков
древлянин,древля́нина,древля́н
древнеанглийский,древнеангли́йского,древнеангли́йских
древневерхненемецкий,древневерхненеме́цкого,древневерхненеме́цких
древнегреческий,древнегре́ческого,древнегре́ческих
древненовгородский,древненовгоро́дского,древненовгоро́дских
древнерусский,древнеру́сского,древнеру́сских
древность,дре́вности,дре́вностей
древо,дре́ва,древе́с
древовал,древова́ла,древова́лов
древодел,древоде́ла,древоде́лов
древонасаждение,древонасажде́ния,древонасажде́ний
древостой,древосто́я,древосто́ев
древотёрка,древотёрки,древотёрок
древоточец,древото́чца,древото́чцев
дредноут,дредно́ута,дредно́утов
дрейф,дре́йфа,дре́йфов
дреколье,дреко́лья,дреко́льев
дрель,дре́ли,дре́лей
дремота,дремо́ты,дремо́т
дрена,дре́ны,дре́н
дренаж,дрена́жа,дрена́жей
дрессировка,дрессиро́вки,дрессиро́вок
дрессировщик,дрессиро́вщика,дрессиро́вщиков
дрёма,дрёмы,дрём
дрифт,дри́фта,дри́фтов
дрищ,дрища́,дрище́й
дробилка,дроби́лки,дроби́лок
дробление,дробле́ния,дробле́ний
дробовик,дробовика́,дробовико́в
дробь,дро́би,дробе́й
дровозаготовка,дровозагото́вки,дровозагото́вок
дровокол,дровоко́ла,дровоко́лов
дроворуб,дровору́ба,дровору́бов
дровосек,дровосе́ка,дровосе́ков
дровяник,дровяника́,дровянико́в
дрога,дроги́,дро́г
дрожание,дрожа́ния,дрожа́ний
дрожь,дро́жи,дро́жей
дрозд,дрозда́,дроздо́в
дромадер,дромаде́ра,дромаде́ров
дроп,дро́па,дро́пов
дроссель,дро́сселя,дро́сселей
дрот,дро́та,дро́тов
дротик,дро́тика,дро́тиков
дрофа,дрофы́,дро́ф
дрочер,дро́чера,дро́черов
дрочила,дрочи́лы,дрочи́л
друг,дру́га,друзе́й
другъ,дру́га,друзе́й
дружба,дру́жбы,дру́жб
дружелюбие,дружелю́бия,дружелю́бий
дружество,дру́жества,дру́жеств
дружина,дружи́ны,дружи́н
дружинник,дружи́нника,дружи́нников
дружище,дружи́ща,дружи́щ
дружка,дру́жки,дру́жек
дружок,дружка́,дружко́в
дрын,дры́на,дры́нов
дрянь,дря́ни,дря́ней
дуалист,дуали́ста,дуали́стов
дуатлон,дуатло́на,дуатло́нов
дуб,ду́ба,дубо́в
дубильня,дуби́льни,дуби́лен
дубина,дуби́ны,дуби́н
дубинка,дуби́нки,дуби́нок
дубка,ду́бки,ду́бок
дубление,дубле́ния,дубле́ний
дублёнка,дублёнки,дублёнок
дублёр,дублёра,дублёров
дубликат,дублика́та,дублика́тов
дублирование,дубли́рования,дубли́рований
дублон,дубло́на,дубло́нов
дубль,ду́бля,ду́блей
дубляж,дубля́жа,дубля́жей
дубненец,дубне́нца,дубне́нцев
дубний,ду́бния,ду́бниев
дубок,дубка́,дубко́в
дубрава,дубра́вы,дубра́в
дубъ,ду́ба,дубо́въ
дуга,дуги́,ду́г
дуда,дуды́,ду́д
дудка,ду́дки,ду́док
дудочка,ду́дочки,ду́дочек
дудук,дуду́ка,дуду́ков
дужка,ду́жки,ду́жек
дукат,дука́та,дука́тов
дуло,ду́ла,ду́л
дуля,ду́ли,ду́ль
дума,ду́мы,ду́м
думатель,ду́мателя,ду́мателей
думец,ду́мца,ду́мцев
думка,ду́мки,ду́мок
думскроллинг,думскро́ллинга,думскро́ллингов
дунганин,дунга́нина,дунга́н
дуновение,дунове́ния,дунове́ний
дупа,ду́пы,ду́п
дупель,ду́пеля,дупеле́й
дупло,дупла́,ду́пел
дура,ду́ры,ду́р
дурак,дурака́,дурако́в
дуралей,дурале́я,дурале́ев
дурачина,дурачи́ны,дурачи́н
дурачок,дурачка́,дурачко́в
дурдом,дурдо́ма,дурдомо́в
дурень,ду́рня,ду́рней
дурёха,дурёхи,дурёх
дуриан,дуриа́на,дуриа́нов
дурман,дурма́на,дурма́нов
дурость,ду́рости,ду́ростей
дурочка,ду́рочки,ду́рочек
дуршлаг,дуршла́га,дуршла́гов
дурь,ду́ри,ду́рей
дуст,ду́ста,ду́стов
дух,ду́ха,ду́хов
духан,духа́на,духа́нов
духовенство,духове́нства,духове́нств
духовка,духо́вки,духо́вок
духовник,духовника́,духовнико́в
духовность,духо́вности,духо́вностей
душ,ду́ша,ду́шей
душа,души́,ду́ш
душевая,душево́й,душевы́х
душевнобольной,душевнобольно́го,душевнобольны́х
душевность,душе́вности,душе́вностей
душегуб,душегу́ба,душегу́бов
душеприказчик,душеприка́зчика,душеприка́зчиков
душица,души́цы,души́ц
душка,ду́шки,ду́шек
душман,душма́на,душма́нов
душок,душка́,душко́в
душонка,душо́нки,душо́нок
дуэль,дуэ́ли,дуэ́лей
дуэт,дуэ́та,дуэ́тов
дхарма,дха́рмы,дха́рм
дщерь,дще́ри,дще́рей
дыба,ды́бы,ды́б
дым,ды́ма,дымо́в
дымарь,дымаря́,дымаре́й
дымка,ды́мки,ды́мок
дымок,дымка́,дымко́в
дымоход,дымохо́да,дымохо́дов
дымъ,ды́ма,дымо́въ
дыня,ды́ни,ды́нь
дыра,дыры́,ды́р
дырка,ды́рки,ды́рок
дырник,ды́рника,ды́рников
дырокол,дыроко́ла,дыроко́лов
дырочка,ды́рочки,ды́рочек
дых,ды́ха,ды́хов
дыхало,ды́хала,ды́хал
дыхальце,ды́хальца,ды́хальц
дыхание,дыха́ния,дыха́ний
дыханье,дыха́нья,дыха́ний
дышло,ды́шла,ды́шел
дьявол,дья́вола,дья́волов
дьяволёнок,дьяволёнка,дьяволя́т
дьяволопоклонник,дьяволопокло́нника,дьяволопокло́нников
дьяк,дья́ка,дья́ков
дьякон,дья́кона,дья́конов
дьячество,дья́чества,дья́честв
дьячок,дьячка́,дьячко́в
дюбель,дю́беля,дю́белей
дюжина,дю́жины,дю́жин
дюйм,дю́йма,дю́ймов
дюна,дю́ны,дю́н
дягиль,дя́гиля,дя́гилей
дяденька,дя́деньки,дя́денек
дядечка,дя́дечки,дя́дечек
дядька,дя́дьки,дя́дек
дядюшка,дя́дюшки,дя́дюшек
дядя,дя́ди,дя́дей
дятел,дя́тла,дя́тлов
дятелъ,дя́тла,дя́тловъ
ебало,еба́ла,еба́л
ебальник,еба́льника,еба́льников
ебальце,еба́льца,еба́лец
еблан,ебла́на,ебла́нов
ебло,ебла́,ёбел
ебля,е́бли,е́бель
еботня,еботни́,еботне́й
евангелие,ева́нгелия,ева́нгелий
евангелист,евангели́ста,евангели́стов
евнух,е́внуха,е́внухов
еврей,евре́я,евре́ев
еврейка,евре́йки,евре́ек
еврейство,евре́йства,евре́йств
европеец,европе́йца,европе́йцев
европеизация,европеиза́ции,европеиза́ций
европейка,европе́йки,европе́ек
европий,евро́пия,евро́пиев
евроремонт,евроремо́нта,евроремо́нтов
евроскептицизм,евроскептици́зма,евроскептици́змов
евшан,евша́на,евша́нов
егерь,е́геря,егере́й
египетский,еги́петского,еги́петских
египтолог,египто́лога,египто́логов
египтянин,египтя́нина,египтя́н
египтянка,египтя́нки,египтя́нок
егоза,егозы́,его́з
единение,едине́ния,едине́ний
единица,едини́цы,едини́ц
единобожие,единобо́жия,единобо́жий
единоборство,единобо́рства,единобо́рств
единоверец,единове́рца,единове́рцев
единодушие,единоду́шия,единоду́ший
единомыслие,единомы́слия,единомы́слий
единомышленник,единомы́шленника,единомы́шленников
единообразие,единообра́зия,единообра́зий
единорог,единоро́га,единоро́гов
единоросс,единоро́сса,единоро́ссов
единственность,еди́нственности,еди́нственностей
единство,еди́нства,еди́нств
едок,едока́,едоко́в
едома,е́домы,е́дом
ежевика,ежеви́ки,ежеви́к
ежевичник,ежеви́чника,ежеви́чников
ежегодник,ежего́дника,ежего́дников
ежедневник,ежедне́вника,ежедне́вников
еженедельник,еженеде́льника,еженеде́льников
ежиха,ежи́хи,ежи́х
ежонок,ежо́нка,ежа́т
ездок,ездока́,ездоко́в
езид,ези́да,ези́дов
езык,езыка́,езыко́в
ектенья,ектеньи́,ектени́й
елей,еле́я,еле́ев
ель,е́ли,е́лей
ельник,е́льника,е́льников
ельчанин,ельча́нина,ельча́н
емейл,еме́йла,еме́йлов
енот,ено́та,ено́тов
енотиха,ено́тихи,ено́тих
епарх,епа́рха,епа́рхов
епархия,епа́рхии,епа́рхий
епископ,епи́скопа,епи́скопов
епитимья,епитимьи́,епитими́й
епитрахиль,епитрахи́ли,епитрахи́лей
ер,е́ра,е́ров
ересь,е́реси,е́ресей
еретик,еретика́,еретико́в
ерик,е́рика,е́риков
ермолка,ермо́лки,ермо́лок
ертаул,ертау́ла,ертау́лов
ерь,е́ря,е́рей
есаул,есау́ла,есау́лов
естественность,есте́ственности,есте́ственностей
естествознание,естествозна́ния,естествозна́ний
естествоиспытатель,естествоиспыта́теля,естествоиспыта́телей
ефимок,ефи́мка,ефи́мков
ефрейтор,ефре́йтора,ефре́йторов
ехидна,ехи́дны,ехи́дн
ехидство,ехи́дства,ехи́дств
ёбарь,ёбаря,ёбарей
ёбик,ёбика,ёбиков
ёбырь,ёбыря,ёбырей
ёж,ежа́,еже́й
ёжик,ёжика,ёжиков
ёкодзуна,ёкодзу́ны,ёкодзу́н
ёлка,ёлки,ёлок
ёлочка,ёлочки,ёлочек
ёмкость,ёмкости,ёмкостей
ёра,ёры,ёр
ёрник,ёрника,ёрников
ёрш,ерша́,ерше́й
ёршик,ёршика,ёршиков
ётун,ётуна,ётунов
ёфикатор,ёфика́тора,ёфика́торов
ёфикация,ёфика́ции,ёфика́ций
жаба,жа́бы,жа́б
жабра,жа́бры,жа́бр
жаворонок,жа́воронка,жа́воронков
жадина,жа́дины,жа́дин
жадность,жа́дности,жа́дностей
жажда,жа́жды,жа́жд
жакет,жаке́та,жаке́тов
жалейка,жале́йки,жале́ек
